PLAYER_ID,GP,MIN,PTS,REB,AST,STL,BLK
1630173,134,18.4,7.2,5.1,0.8,0.4,0.5
203500,664,26.8,9.3,8.0,1.5,0.9,0.9
1628389,343,28.2,13.5,8.3,3.5,1.0,0.9
1630583,32,11.2,4.1,2.7,0.7,0.2,0.3
200746,1076,33.7,19.1,8.1,1.9,0.7,1.1
1629638,158,19.4,9.3,2.6,2.2,0.7,0.3
1628960,192,21.9,9.4,2.6,1.5,0.6,0.2
1628386,341,26.6,11.6,8.7,1.4,0.5,1.4
1630631,54,15.4,6.1,1.9,2.8,1.3,0.1
203937,505,21.0,6.7,4.4,2.3,1.0,0.6
203507,656,32.6,21.8,9.4,4.6,1.2,1.3
203648,127,9.1,3.1,2.0,0.7,0.4,0.2
2546,1260,34.5,22.5,6.2,2.7,1.0,0.5
1630175,112,29.8,14.9,5.1,5.0,0.7,0.3
1628384,301,26.8,10.4,4.1,1.4,1.1,0.5
1627853,217,17.2,4.6,2.0,2.1,0.5,0.0
201571,976,23.4,9.5,1.8,3.9,0.6,0.0
1630166,136,23.8,7.6,5.1,1.7,0.7,0.4
1629028,236,30.7,16.3,10.5,1.6,0.7,1.0
1628962,32,7.9,3.0,2.6,0.0,0.1,0.5
1628963,166,25.1,13.6,7.4,0.9,0.5,0.7
1630163,126,30.9,18.3,6.4,7.0,1.6,0.4
1628366,252,32.5,11.9,5.7,6.2,1.6,0.6
1628964,226,18.6,7.7,6.1,0.9,0.4,1.4
1630217,144,26.3,14.0,3.8,2.3,0.9,0.3
1630625,64,10.9,3.2,1.9,1.5,0.4,0.2
203084,747,31.8,14.1,5.1,1.8,0.7,0.2
1630567,74,35.4,15.3,7.5,3.5,1.1,0.7
1629628,198,33.5,17.5,5.6,2.9,0.8,0.3
203115,623,25.9,11.6,4.3,2.7,0.8,0.4
1629646,23,7.3,3.0,2.7,0.3,0.2,0.7
1628966,163,15.0,5.2,3.0,0.6,0.5,0.3
201587,915,30.6,11.1,5.1,3.5,1.0,0.6
203145,657,20.6,8.2,3.2,1.8,1.0,0.5
1629647,185,25.8,10.0,5.8,1.3,0.6,0.7
203078,645,34.8,22.1,4.1,4.2,1.1,0.4
1627736,336,20.9,10.4,2.5,1.2,0.6,0.1
202722,387,19.1,8.2,2.7,1.0,0.4,0.4
201976,526,27.4,8.8,4.3,3.5,1.1,0.5
1630180,152,30.4,14.3,5.0,2.2,0.8,0.2
203920,262,17.8,5.2,4.6,1.0,0.5,0.6
1629048,149,11.8,5.0,2.9,0.8,0.3,0.9
202687,738,19.9,5.2,6.1,0.6,0.3,1.3
202357,449,20.4,7.6,4.6,1.8,0.6,0.4
202339,756,27.8,13.7,3.9,4.7,1.4,0.5
1629833,48,8.8,2.2,1.1,0.5,0.3,0.0
203992,316,28.6,14.2,3.4,3.4,1.0,0.2
202711,603,29.1,15.0,3.6,1.6,0.6,0.1
